Revenue (d2);Labor (l1);Variable Cost (n2a, n2e, n2f, n2b);Investment in new capital (n5a, n5b);Raw Materials Cost (n2e)
2100000000;19;2700000000;0;1100000000
2100000000;8;1224000000;0;
2100000000;15;802000000;600000000;
2100000000;7;200000000;0;
2100000000;186;1630000000;1960000000;1100000000
2111000064;40;1450000000;24000000;1200000000
2114000000;27;1548000000;0;1374000000
2115000064;34;1365000000;0;1140000000
2134000000;8;1864000000;0;1814000000
2136999936;14;1474000000;250000000;1450000000
2152000000;56;1695000000;264000000;1344000000
2184000000;29;856000000;2325000064;511000000
2190000128;66;1301000000;64000000;731000000
2193699840;511;1516699968;2539600000;23000000
2196000000;6;1828000000;1000000000;60000000
2200000000;70;1504000000;1500000000;700000000
2200000000;5;410000000;700000000;
2200000000;9;1979358039;500000000;1675058039
2200000000;132;830000000;0;80000000
2200000000;30;2150000000;250000000;1500000000
2200000000;330;3400000000;1380000000;1700000000
2230000128;20;1930000000;0;1580000000
2250000000;12;425000000;35000000;
2255000064;21;320000000;1300000000;57000000
2264999936;215;1565000000;61000000;269000000
2280999936;28;916400000;0;538000000
2292999936;27;1916000064;1550000000;769000000
2298200064;41;765800000;0;444000000
2300000000;30;1340000000;50000000;540000000
2300000000;10;270000000;0;
2300000000;30;820000000;300000000;
2300000000;20;750000000;500000000;
2300000000;7;250000000;0;
2300000000;12;1812000000;300000000;1600000000
2300000000;80;2190000000;0;1400000000
2300000000;30;1509000000;20000000;1300000000
2300000000;40;1976000000;310000000;1640000000
2300000000;80;2016000000;100000000;1200000000
2337999872;30;1760000000;624000000;1400000000
2339699968;23;2062880032;0;1668380032
2368000000;32;1870000000;160000000;1468000000
2400000000;11;3421000000;0;2900000000
2400000000;17;1618000000;75000000;1500000000
2400000000;38;2526000000;0;700000000
2400000000;70;1360000000;652000000;1000000000
2400000000;20;1782000000;60000000;1586000000
2414439936;40;1785609984;66749996;979800000
2456000000;9;1927000064;13000000;1663000064
2456999936;16;2015000064;0;1839000064
2459000064;16;2246000000;392000000;1840000000
2463000064;21;2295000000;395000000;2040000000
2468000000;15;1896000000;630000000;1680000000
2471000064;30;2932000000;0;2452000000
2500000000;17;255000000;0;
2500000000;8;1990000000;1000000000;1500000000
2500000000;15;1582000000;1000000000;1200000000
2500000000;5;885000000;0;600000000
2500000000;70;2500000000;0;1750000000
2500000000;25;2332999936;20000000;2124999936
2500000000;10;1920000000;0;500000000
2500000000;25;2164000000;0;1620000000
2500000000;12;100000000;300000000;0
2500000000;17;2075000000;30000000;50000000
2500000000;8;436000000;0;
2500000000;6;488000000;3000000000;
2500000000;5;1500000000;1000000000;1000000000
2500000000;6;530000000;0;
2500000000;11;0;100000000;
2500000000;40;960000000;350000000;
2500000000;5;2230000000;0;1700000000
2500000000;11;2245000000;280000000;2000000000
2500000000;4;1500000000;0;
2500000000;25;1645000000;0;1000000000
2500000000;35;2020000000;400000000;800000000
2500000000;7;2478000000;0;480000000
2500000000;12;200000000;0;
2500000000;15;1737000000;200000000;1000000000
2500000000;32;2078000000;0;300000000
2500000000;30;1540000000;600000050;1000000000
2500000000;35;684000000;1500000000;
2500000000;43;2100000000;650000000;1260000000
2500000000;10;2119999936;160000000;1984999936
2500000000;20;2204000000;400000000;2000000000
2500000000;50;2170000000;800000000;1450000000
2528000000;28;1840000064;462000000;1323000064
2550000128;28;2098000000;354000000;1762000000
2563000064;120;1904000000;768000000;382000000
2568000000;8;425000000;0;179000000
2600000000;7;173000000;0;
2600000000;30;2900000000;1000000000;700000000
2640366600;72;2936861605;0;1528213832
2699265491;38;2119518489;1300000000;517305867
2700000000;50;2406000000;3000000000;1800000000
2700000000;9;1925000000;128000000;1500000000
2700000000;56;2083000000;400000000;1548000000
2700000000;12;2385000064;190000000;1223000064
2704999936;42;1822000000;49500000;1023000000
2708999936;40;2423000064;184200000;2135000064
2752000000;70;2587000000;30000000;1812000000
2764999936;21;2098000000;753000000;1910000000
2769999872;45;1704999936;90000000;1268999936
2800000000;48;2380000000;44000000;1324000000
2800000000;12;750000000;500000000;200000000
2800000000;7;2596000000;0;2100000000
2800000000;50;2643000064;20000000;2031000064
2817999872;220;2500000000;820000000;
2844000000;15;2135000000;0;1285000000
2848000000;3650;2,15087E+11;96332001280;1,54877E+11
2851632000;500;1620000000;0;0
2864000000;100;1850000000;8049999872;
2875000064;52;2500000000;90000000;2050000000
2876000000;16;1559000000;120000000;863000000
2900000000;18;3156000000;2200000000;260000000
2900000000;4;2634000000;0;350000000
2900000000;20;2450000000;12000000000;1500000000
2900000000;10;370000000;0;
2900000000;6;145000000;10000000;
2900000000;15;1854999936;150000000;1592999936
2921999872;40;2452000064;127000000;1835000064
3000000000;25;2595710080;0;2184110080
3000000000;30;1800000000;185000000;1000000000
3000000000;25;2690000000;0;1800000000
3000000000;5;60000000;0;
3000000000;42;2980000000;0;1500000000
3000000000;20;3042000000;14600000000;2400000000
3000000000;7;2310000000;20000000;2000000000
3000000000;20;1760000000;0;900000000
3000000000;25;1992500000;54000000;1000000000
3000000000;15;500000000;0;
3000000000;15;836000000;0;
3000000000;19;1008000000;0;
3000000000;48;2302000000;110000000;1632000000
3000000000;26;1520000000;0;1000000000
3000000000;13;2450000000;0;2100000000
3000000000;130;2728999936;7200000000;2428999936
3000000000;6;1870000000;100000000;1500000000
3000000000;20;2484000000;0;600000000
3000000000;60;3200000000;0;500000000
3000000000;10;300000000;2500000000;
3000000000;15;1336000000;0;700000000
3000000000;12;2733000000;250000000;1500000000
3000000000;6;2600000000;600000000;0
3000000000;55;586000000;300000000;190000000
3000000000;14;2212000000;40000000;1200000000
3000000000;8;1590000000;0;0
3000000000;30;2166000000;0;
3000000000;50;120000000;0;0
3000000000;30;940000000;0;
3000000000;25;1018000000;0;400000000
3000000000;15;1600000000;0;
3000000000;20;2520000000;0;2000000000
3000000000;15;2820000000;0;2100000000
3000000000;6;1100000000;0;
3000000000;12;1370000000;1100000000;120000000
3000000000;10;0;13000000000;0
3000000000;40;2550000000;2000000000;800000000
3000000000;47;2872000000;100000000;2200000000
3000000000;30;2250000000;400000000;1000000000
3000000000;20;130000000;100000000;
3000000000;10;360000000;500000000;
3000000000;17;698000000;0;0
3000000000;7;1996000000;0;1600000000
3000000000;40;2570000000;0;1400000000
3000000000;15;300000000;50000000;
3000000000;160;3030000000;160000000;900000000
3000000000;5;270000000;0;
3000000000;19;2050000000;0;1000000000
3000000000;18;310000000;80000000;
3000000000;5;180000000;0;
3000000000;50;2396000000;0;1796000000
