Revenue (d2);Labor (l1);Variable Cost (n2a, n2e, n2f, n2b);Investment in new capital (n5a, n5b);Raw Materials Cost (n2e)
25000000000;70;19060000000;1200000000;16000000000
25000000000;30;15820000000;0;15000000000
25000000000;100;14030000000;3500000000;6000000000
25000000000;15;758000000;700000000;
25000000000;250;20650000000;550000000;12500000000
25000000000;100;24400000000;7000000000;20000000000
25000000000;100;5150000000;0;
25000000000;90;3980000000;0;
25000000000;50;3140000000;500000000;
25000000000;120;24500000000;1000000000;1200000000
25000000000;232;14090000000;0;0
25000000000;60;29240000000;2000000000;25000000000
25000000000;21;940000000;0;
25000000000;50;4200000000;1200000000;0
25000000000;16;560000000;160000000;
25000000000;120;22090000000;900000000;7000000000
25000000000;65;6900000000;1300000000;1300000000
25000000000;70;1750000000;2570000000;
25000000000;60;23200000000;5000000000;17000000000
25177999360;208;16307000320;1524000000;13100000256
25200000000;25;2460000000;0;
25291999232;67;19206999552;25000000;17205999616
25320000000;28;13235000000;500000000;10580000000
25365999616;455;23911000064;3630000128;14083000320
25432999936;45;18958000448;0;18097000448
25460000000;30;13400000000;8000000000;3100000000
25652000768;1217;13265999872;5338000192;
25710000128;14;21688999040;98000000;21398999040
25725599744;143;2,80681E+11;2,8555E+11;18055000064
25760999424;68;24241000320;0;23555000320
25867999232;196;18295000064;4690999808;13580000256
25999998976;33;18394399616;1505000000;17999599616
26000000000;45;22456000000;0;19000000000
26000000000;34;25480000000;250000000;24000000000
26000000000;60;17146000000;0;15000000000
26000000000;60;8860000000;1000000000;1000000000
26000000000;110;4500000000;3200000000;
26000000000;198;22000000000;4000000000;10000000000
26000000000;30;1000000000;1000000000;
26000000000;35;1200000000;0;
26016999424;748;14886000128;427000000;4879000064
26290000000;50;12000000000;500;11000000000
26319998976;214;19610999808;550000000;14988999680
26500000000;60;19872000000;4250000000;18200000000
26717999104;204;25710000128;4050000000;23100000256
26751000576;170;22141000704;171000000;19764000768
27000000000;200;15100000000;300000000;7000000000
27000000000;120;18500000000;2500000000;10000000000
27000000000;67;23036000000;900000000;20000000000
27000000000;25;24000000000;250000000;23000000000
27000000000;2700;11300000000;0;3000000000
27000000000;11;23910000000;170000000;23000000000
27000000000;15;0;1000000000;
27000000000;40;9500000000;3200000000;
27000000000;44;26000000000;1500000000;22000000000
27000000000;300;7800000000;3540000000;
27000000000;70;5500000000;4000000000;2000000000
27014954181;102;17840001802;1970259621;14325582439
27299999744;102;23058001024;180000000;21808001024
27356000256;850;19598000640;0;13601000448
27500000000;323;21240000000;200000000;18000000000
27541999616;32;15673000320;195000000;15283000320
27577999360;8;28002000000;0;26752000000
27587999744;140;26000999168;822665984;23428999168
27871000576;65;28010999296;400000000;26770999296
27971999744;78;25382999808;1263000064;24266999808
28000000000;107;19728999680;0;16428999680
28000000000;11;372000000;170000000;
28000000000;90;30320000000;0;22000000000
28000000000;12;24815000000;1000000000;23800000000
28000000000;20;1324000000;0;
28000000000;142;4690000000;300000000;0
28000000000;101;28000000000;4000000000;4000000000
28000000000;42;160000000;4000000000;
28000000000;60;29250000000;0;23000000000
28000000000;40;24230000000;250000000;22000000000
28000000000;216;26412000768;1635000000;24212000768
28071999488;450;18884000256;277000000;12110000128
28113999872;1800;24999999488;7300000000;
28201000960;352;25821499904;3087000064;22560000000
28359999488;153;2959788872;270000000;13789000
28500000000;68;23844000000;0;21600000000
28500000768;130;22735000320;600000000;20490000384
28533000192;408;22705215744;518344992;19085215744
28591151104;190;23452368128;0;20378288128
28600000512;379;23693000192;530000000;18151000064
28700000000;20;800000000;3300000000;
28745000960;200;21082999808;400000000;17944999936
28810000000;22;3218000000;500000000;1468000000
28966000000;150;28047000000;0;24800000000
28974000128;273;24513000448;4048999936;21624000512
28994000896;1536;21671000064;0;11386000384
29000000000;90;11250000000;2000000000;10000000000
29000000000;88;14601000000;4000000000;8000000000
29000000000;350;22000000000;0;7000000000
29037000704;120;23328000000;0;20736000000
29040001024;850;17904999936;15476999680;10067999744
29142000000;57;26023000000;332404762;23725000000
29296001024;198;24348999936;5426000000;21216000000
29300000768;50;25059999360;1150000000;24089999360
29500000000;60;1700000000;0;
29942999040;192;18646000512;312000000;16760000512
30000000000;300;18166000000;3000000000;10320000000
30000000000;150;29000000000;32000000000;14000000000
30000000000;130;3650000000;0;0
30000000000;280;21600000000;50000000;11000000000
30000000000;170;22200000000;3800000000;15000000000
30000000000;50;2000000000;1000000000;
30000000000;5;500000000;0;
30000000000;60;26500000000;8000000000;20000000000
30000000000;20;1000000000;5000000000;
30000000000;30;7000000000;8800000000;1000000000
30000000000;180;21900000000;2000000000;15000000000
30000000000;32;23580000000;130000000;18000000000
30000000000;12;25070000000;0;
30000000000;20;0;40000000;
30000000000;52;3120000000;0;
